Scholarship_Name,Category,State,Minimum_Percentage,Maximum_Income,Course,Amount,Apply_Link
National Merit Scholarship,General,All,75,250000,Any,50000,https://scholarships.gov.in/
Pragati Scholarship,Girls,All,60,800000,Engineering,50000,https://www.aicte-india.org/
AICTE Saksham Scholarship,Any,All,60,800000,Engineering,50000,https://www.aicte-india.org/
Jagananna Vidya Deevena,EWS,Andhra Pradesh,60,300000,Engineering,100000,https://jnanabhumi.ap.gov.in/
Post Matric Scholarship,SC,All,50,250000,Any,30000,https://scholarships.gov.in/
Post Matric Scholarship,ST,All,50,250000,Any,30000,https://scholarships.gov.in/
OBC Scholarship,OBC,All,50,300000,Any,30000,https://scholarships.gov.in/
Minority Scholarship,Any,All,50,200000,Any,25000,https://scholarships.gov.in/
INSPIRE Scholarship,General,All,85,500000,Science,80000,https://online-inspire.gov.in/
Reliance Foundation Scholarship,Any,All,60,600000,Engineering,200000,https://www.reliancefoundation.org/